iter	Passed	Remaining
0	0	71
1	1	62
2	1	56
3	2	51
4	2	50
5	3	49
6	3	47
7	4	46
8	4	45
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	41
17	8	40
18	9	39
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	31
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	22	26
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	28	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	47	0
98	48	0
99	48	0
