iter	Passed	Remaining
0	141	141183
1	142	71002
2	142	47490
3	143	35840
4	144	28823
5	145	24177
6	146	20818
7	147	18303
8	148	16347
9	149	14763
10	149	13473
11	150	12390
12	151	11472
13	151	10696
14	152	10018
15	153	9427
16	154	8905
17	154	8443
18	155	8034
19	156	7652
20	156	7311
21	157	6999
22	157	6711
23	158	6454
24	159	6216
25	160	6000
26	160	5801
27	161	5611
28	162	5437
29	162	5269
30	163	5110
31	164	4962
32	164	4826
33	165	4703
34	166	4588
35	167	4477
36	167	4370
37	168	4266
38	169	4166
39	169	4071
40	170	3980
41	170	3898
42	171	3823
43	172	3752
44	173	3679
45	173	3608
46	174	3538
47	175	3473
48	175	3408
49	176	3351
50	177	3297
51	177	3243
52	179	3202
53	179	3151
54	180	3101
55	181	3052
56	181	3006
57	182	2960
58	183	2919
59	183	2878
60	184	2839
61	185	2800
62	185	2762
63	186	2725
64	186	2688
65	187	2653
66	188	2623
67	189	2591
68	189	2561
69	190	2532
70	191	2503
71	191	2473
72	192	2444
73	193	2416
74	193	2389
75	194	2363
76	195	2338
77	195	2314
78	196	2291
79	197	2269
80	197	2246
81	198	2222
82	198	2197
83	199	2174
84	200	2153
85	200	2133
86	201	2114
87	202	2095
88	203	2078
89	203	2059
90	204	2041
91	204	2023
92	205	2005
93	206	1988
94	207	1972
95	207	1956
96	208	1940
97	209	1925
98	209	1909
99	210	1894
100	211	1878
101	211	1863
102	212	1848
103	212	1833
104	213	1819
105	214	1805
106	214	1793
107	215	1780
108	216	1767
109	216	1754
110	217	1741
111	217	1728
112	218	1716
113	219	1706
114	220	1695
115	221	1685
116	221	1673
117	222	1661
118	222	1650
119	223	1638
120	224	1627
121	224	1615
122	225	1605
123	225	1595
124	226	1586
125	227	1578
126	228	1568
127	228	1558
128	229	1548
129	229	1538
130	230	1529
131	231	1522
132	232	1513
133	232	1504
134	233	1496
135	234	1488
136	234	1479
137	235	1470
138	236	1462
139	236	1452
140	237	1444
141	237	1435
142	238	1428
143	239	1420
144	239	1413
145	240	1406
146	240	1398
147	241	1390
148	242	1382
149	242	1375
150	243	1367
151	243	1360
152	244	1353
153	245	1347
154	246	1342
155	246	1335
156	247	1328
157	248	1321
158	248	1314
159	249	1307
160	249	1299
161	250	1293
162	250	1288
163	251	1283
164	252	1278
165	253	1272
166	253	1265
167	254	1259
168	254	1253
169	255	1247
170	256	1243
171	257	1237
172	257	1233
173	258	1228
174	259	1222
175	259	1216
176	260	1211
177	261	1205
178	261	1200
179	262	1195
180	263	1190
181	263	1185
182	264	1181
183	265	1176
184	265	1171
185	266	1165
186	266	1160
187	267	1155
188	268	1150
189	268	1145
190	269	1141
191	270	1137
192	271	1133
193	271	1128
194	272	1123
195	272	1118
196	273	1113
197	273	1109
198	274	1105
199	275	1100
200	275	1096
201	276	1092
202	277	1088
203	277	1084
204	278	1080
205	279	1075
206	279	1071
207	280	1066
208	280	1062
209	281	1059
210	282	1055
211	282	1051
212	283	1047
213	284	1043
214	284	1039
215	285	1035
216	285	1031
217	286	1027
218	287	1024
219	287	1021
220	288	1018
221	289	1015
222	290	1011
223	290	1007
224	291	1004
225	292	1000
226	292	996
227	293	992
228	293	989
229	294	986
230	295	983
231	296	980
232	296	977
233	297	973
234	297	969
235	298	966
236	299	962
237	299	959
238	300	956
239	301	953
240	301	950
241	302	947
242	303	944
243	303	941
244	304	937
245	304	933
246	305	930
247	306	927
248	306	925
249	307	922
250	308	919
251	308	916
252	309	913
